ID,Title,WP_page_title,First_weekend_revenue_USD,Number_of theaters,Date_of_release,Inception_of_article_(movie_time_days),SearchForWPonly,Views60,Users60,Rigor60,Edits60,Views50,Users50,Rigor50,Edits50,Views40,Users40,Rigor40,Edits40,Views30,Users30,Rigor30,Edits30,Views20,Users20,Rigor20,Edits20,Views10,Users10,Rigor10,Edits10
1,127 Hours,127_Hours,264851,4,11/5/10,340,0,212378,48,52,68,257832,60,69,86,301779,73,81,100,326587,77,89,117,385538,100,107,138,428661,111,126,164
2,2012 Time for Change,2012:_Time_for_Change,9009,1,4/9/10,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,378,1,1,8,539,2,2,9
3,44 Inch Chest,44_Inch_Chest,4185,1,1/15/10,510,0,76673,18,19,27,78059,18,19,27,81128,22,22,32,83258,22,22,32,86551,22,23,34,90287,25,27,43
4,45365,45365,107,1,2/26/10,-9,1,249,0,0,0,256,0,0,0,265,0,0,0,274,0,0,0,283,0,0,0,298,0,0,0
5,71 Into the Fire,71:_Into_the_Fire,77161,20,7/30/10,62,0,258,2,2,4,1577,3,3,5,2419,3,3,5,3757,4,4,6,4836,5,5,7,5990,5,5,7
6,8 The Mormon Proposition,8:_The_Mormon_Proposition,42566,16,6/18/10,51,0,3,0,0,0,168,4,4,5,1237,7,9,29,2058,7,9,29,2863,8,10,31,3813,13,13,39
7,A Film Unfinished,A_Film_Unfinished,34060,4,8/18/10,14,0,15,0,0,0,20,0,0,0,33,0,0,0,36,0,0,0,36,0,0,0,243,2,2,8
8,After.Life,After.Life,59946,41,4/9/10,526,0,215295,27,33,47,217905,28,34,48,220777,28,36,55,227549,30,41,61,232118,30,41,61,236209,30,43,67
9,Aftershock,Aftershock_(film),19329,25,10/29/10,114,0,20477,20,22,32,23983,26,25,35,28343,26,25,35,33575,25,26,36,37409,28,29,39,41312,26,30,40
10,Alice in Wonderland,Alice_in_Wonderland_(2010_film),116101023,3728,3/5/10,826,0,3649995,506,795,1069,3774462,535,838,1120,3891534,573,915,1225,4040563,598,956,1271,4217127,656,1039,1382,4501189,711,1117,1486
11,All About Evil,All_About_Evil,5070,1,7/9/10,30,0,1915,0,0,0,1970,0,0,0,2024,0,0,0,2124,1,1,7,2675,2,2,8,3353,2,2,8
12,All Good Things,All_Good_Things_(film),37172,2,12/3/10,902,0,222860,83,85,175,230741,83,90,182,254341,92,99,196,265721,102,104,202,284769,104,106,204,309065,104,107,205
13,Alpha and Omega,Alpha_and_Omega_(film),9106906,2625,9/17/10,512,0,278178,105,140,203,293081,132,162,231,309996,123,165,238,327933,143,175,253,352386,141,184,264,383129,150,203,304
14,And Everything Is Going Fine,And_Everything_Is_Going_Fine,7035,1,12/10/10,269,0,23597,5,6,11,24688,5,6,11,25767,8,9,17,26864,8,9,17,28089,8,9,17,29446,8,10,18
15,A Nightmare on Elm Street,A_Nightmare_on_Elm_Street_(2010_film),32902299,3332,4/30/10,635,0,1215517,247,503,729,1282739,267,518,752,1334320,271,537,775,1388175,275,558,800,1477538,293,586,832,1593887,320,633,890
16,Animal Kingdom,Animal_Kingdom_(film),61968,7,8/13/10,170,0,19585,21,21,40,22933,22,22,41,26021,25,26,49,27735,31,32,57,31209,34,35,64,35189,34,36,65
17,Anjaana Anjaani,Anjaana_Anjaani,517608,91,10/1/10,367,0,158300,77,71,125,179405,102,95,168,210146,124,120,214,241529,135,145,242,268200,147,158,260,307262,174,198,308
18,Another Year,Another_Year_(film),111869,6,12/29/10,285,0,25040,13,15,27,30141,16,20,35,36431,29,28,51,41211,31,32,56,46626,33,37,61,51308,42,41,65
19,A Prophet,A_Prophet,163773,9,2/26/10,292,0,47411,20,31,46,55369,24,34,50,64433,24,34,50,80777,27,37,53,102611,31,43,63,116307,33,46,66
20,Babies,Babies_(film),2160460,534,5/7/10,173,0,8734,15,18,21,9392,15,18,21,10279,20,20,26,11336,20,20,26,12636,20,22,29,16056,20,22,29
21,Band Baaja Baaraat,Band_Baaja_Baaraat,43820,32,12/10/10,70,0,3260,2,4,5,7234,7,12,27,17162,15,22,42,28418,22,32,55,42922,33,48,78,58491,49,60,92
22,Behind the Burly Q,Behind_the_Burly_Q,3958,1,4/23/10,50,0,0,0,0,0,53,3,5,7,219,3,5,8,251,3,5,8,272,3,5,8,314,3,5,8
23,Best Worst Movie,Best_Worst_Movie,5503,1,4/23/10,885,0,7825,2,2,2,8114,2,2,2,8430,2,2,2,8846,2,2,2,9751,2,2,2,10660,2,2,2
24,Bitch Slap,Bitch_Slap,12254,3,1/8/10,534,0,81437,29,37,52,85180,33,39,60,92247,39,44,67,97639,40,45,68,112298,44,49,73,124432,43,54,79
25,Black Swan,Black_Swan_(film),1443809,18,12/3/10,432,0,666397,74,137,297,700242,77,141,303,738871,76,143,305,785553,82,155,320,832756,84,162,333,902654,93,169,347
26,Blue Valentine,Blue_Valentine_(film),193728,4,12/29/10,335,0,161020,41,44,75,173286,41,44,75,186867,41,44,75,199757,41,46,77,226012,45,50,81,302467,54,57,98
27,BoyBand,BoyBand_(film),7591,1,6/4/10,-7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Bran Nue Dae,Bran_Nue_Dae_(film),23527,16,9/10/10,369,0,35583,35,42,67,36629,38,44,69,38362,39,45,70,40677,35,46,71,42611,41,48,73,44251,41,48,73
29,Breath Made Visible,Breath_Made_Visible,8425,3,4/2/10,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,3,4,12
30,Brooklyn%27s Finest,Brooklyn%27s_Finest,13350299,1936,3/5/10,638,0,151403,45,52,69,161860,48,54,71,169986,48,54,71,179016,50,57,75,199185,59,67,114,228981,65,74,123
31,Brotherhood,Brotherhood_(2010_film),2341,1,8/6/10,-150,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Buried,Buried_(film),100268,11,9/24/10,400,0,144834,36,49,80,158347,46,59,92,168233,52,69,105,184682,53,73,109,205118,64,84,123,227606,68,91,130
33,Burlesque,Burlesque_(film),11947744,3037,11/24/10,424,0,466039,200,273,375,493278,207,284,388,523479,203,289,396,550315,222,296,410,591408,227,301,417,650046,236,318,453
34,Cairo Time,Cairo_Time,66245,5,8/6/10,316,0,18029,20,20,37,18372,20,20,37,19182,22,22,41,20300,23,24,43,21162,25,25,44,22457,25,25,44
35,Carbon Nation,Carbon_Nation,402,1,5/7/10,-5,1,20,0,0,0,20,0,0,0,20,0,0,0,20,0,0,0,20,0,0,0,20,0,0,0
36,Case 39,Case_39,5350570,2211,10/1/10,1357,0,401298,141,151,201,413000,138,153,203,433666,135,156,206,462381,145,163,216,500947,154,171,225,567018,161,180,236
37,Casino Jack and the United States of Money,Casino_Jack_and_the_United_States_of_Money,28234,9,5/7/10,229,0,5,0,0,0,792,1,1,1,2174,3,3,3,3313,3,3,3,4358,4,4,4,5357,7,7,14
38,Casino Jack,Casino_Jack,34528,7,12/17/10,57,0,45293,17,19,34,47857,17,19,34,55183,20,22,38,60830,24,26,42,80082,25,28,44,94452,26,31,49
39,Catfish,Catfish_(film),257285,12,9/17/10,43,0,0,0,0,0,0,0,0,0,12162,5,5,6,18273,5,5,6,25568,13,15,29,46632,31,45,78
40,Cats and Dogs The Revenge of Kitty Galore,Cats_&_Dogs:_The_Revenge_of_Kitty_Galore,12279363,3705,7/30/10,667,0,0,119,138,196,0,139,153,222,0,149,176,254,0,164,192,274,0,173,204,288,0,194,228,328
41,Centurion,Centurion_(film),42826,12,8/27/10,526,0,223580,57,77,119,228514,60,83,125,235710,71,95,153,247788,72,101,160,271657,77,105,166,331753,78,111,173
42,Chain Letter,Chain_Letter_(film),138788,406,10/1/10,151,0,12547,14,18,33,14937,14,18,33,17233,14,18,33,18387,14,19,35,22113,16,20,36,27070,16,21,37
43,Chance Pe Dance,Chance_Pe_Dance,117917,68,1/15/10,112,0,30128,29,26,46,34371,28,28,49,41862,37,36,61,48850,43,39,66,58448,51,46,77,69891,68,59,104
44,Charlie St. Cloud,Charlie_St._Cloud_(film),12381585,2718,7/30/10,334,0,188129,39,49,79,218935,44,54,84,232026,48,57,89,245793,50,63,95,269128,66,78,112,323284,77,92,126
45,Children of Invention,Children_of_Invention,4874,2,3/12/10,58,0,20,0,0,0,286,1,1,24,605,2,2,25,757,2,2,25,898,2,2,25,1134,3,3,26
46,Clash of the Titans,Clash_of_the_Titans_(2010_film),61235105,3777,4/2/10,356,0,1360886,142,166,232,1445696,149,179,250,1548818,157,197,280,1695610,174,216,303,1871039,190,234,323,2073627,227,289,388
