Restaurant,Food,Decor,Service,Cost,Pct_Liked
Tony's,26,26,26,65,94
Ristorante Cavour,24,26,25,62,95
Da Marco,29,24,27,61,98
Amerigo's Grille,20,22,20,55,83
Quattro,26,24,24,54,94
Sorrento,24,22,22,51,88
Arcodoro,22,21,21,49,82
Arturo's Uptown Italiano,22,22,22,49,88
Antica Osteria,24,21,23,46,88
Valentino,23,23,25,46,81
Damian's Cucina Italiana,26,22,26,44,84
Ciao Bello,20,22,24,44,80
Stella Sola,23,24,23,42,88
Divino,25,18,23,40,93
Nino's,27,22,25,39,94
La Griglia,22,24,23,39,86
Trevisio,22,25,24,38,82
Crapitto's Cucina Italiana,22,20,25,37,75
Prego,24,20,23,36,88
Grotto Six Pines Dr.,22,23,22,36,69
Grotto Westheimer Rd.,22,23,22,36,81
Piatto,22,21,23,35,90
Michelangelo's,23,23,23,34,90
Grappino di Nino,25,23,22,33,94
Vincent's,25,21,22,33,97
Brio Tuscan Grille Woodlands,22,23,22,33,75
Brio Tuscan Grille Queensbury Ln.,22,23,22,33,80
Dolce Vita Pizzeria Enoteca,26,17,21,32,93
Maggiano's Little Italy,21,21,21,31,70
Frenchie's,25,12,23,30,88
Palazzo's Trattoria Westheimer Rd.,23,18,21,30,82
Patrenella's ,18,14,17,30,67
Carrabba's Italian Grill FM 1960,23,20,22,29,88
Carrabba's Italian Grill Hwy. 6,23,20,22,29,93
Carrabba's Italian Grill Katy Frwy,23,20,22,29,88
Carrabba's Italian Grill Woodlands,23,20,22,29,94
Carrabba's Italian Grill Kirby Dr.,23,20,22,29,89
Carrabba's Italian Grill Hwy. 6 Sugar Land,23,20,22,29,87
D'Amico's Italian Market Caf_ Morningside Dr.,23,19,20,29,86
Carrabba's Italian Grill Kingwood Dr.,23,20,22,29,94
Carrabba's Italian Grill W. Bay Area Blvd.,23,20,22,29,60
Poscol,26,19,24,28,88
Ciro's,23,19,23,28,79
Giacomo's,23,17,22,26,78
Paulie's,24,17,17,19,84
Collina's,22,13,20,18,80
Collina's Richmond Ave.,22,13,20,18,87
Collina's 19th St,22,13,20,18,92
Pronto Cucinino Holcombe Blvd.,21,15,17,15,78
Pronto Cucinino Montrose Blvd,21,15,17,15,90
