State ,Pollclosing_12,ElectoralVotes_12,Obama_12,Romney_12 ,PreElectionEstimate_12,Obama_08,McCain_08
Alaska ,12 a.m. ,3,40.8,54.8,Strong Romney,37.7,60.2
Alabama ,8 p.m. ,9,38.4,60.5,Strong Romney,38.8,60.4
Arkansas ,8:30 p.m. ,6,36.9,60.6,Strong Romney,38.8,58.8
Arizona ,9 p.m. ,11,44.6,53.7,Strong Romney,45,53.8
California ,11 p.m. ,55,60.2,37.1,Strong Obama,60.9,37.3
Colorado ,9 p.m. ,9,51.5,46.1,Tossup,53.5,44.9
Connecticut ,8 p.m. ,7,58.1,40.7,Strong Obama,60.5,38.3
D.C. ,8 p.m. ,3,90.9,7.3,Strong Obama,92.9,6.5
Delaware ,8 p.m. ,3,58.6,40,Strong Obama,61.9,37
Florida ,7 p.m. ,29,50,49.1,Tossup,50.9,48.4
Georgia ,7 p.m. ,16,45.5,53.3,Strong Romney,47,52.2
Hawaii ,11 p.m. ,4,70.5,27.8,Strong Obama,71.8,26.6
Iowa ,10 p.m. ,6,52,46.2,Lean Obama,54,44.7
Idaho ,10 p.m. ,4,32.6,64.5,Strong Romney,36.1,61.5
Illinois ,8 p.m. ,20,57.6,40.7,Strong Obama,61.8,36.9
Indiana ,6 p.m. ,11,43.9,54.1,Strong Romney,49.9,49
Kansas ,9 p.m. ,6,38,59.7,Strong Romney,41.4,56.8
Kentucky ,6 p.m. ,8,37.8,60.5,Strong Romney,41.1,57.5
Louisiana ,9 p.m. ,8,40.6,57.8,Strong Romney,39.9,58.6
Massachusetts ,8 p.m. ,11,60.7,37.5,Strong Obama,62,36.2
Maryland ,8 p.m. ,10,62,35.9,Strong Obama,61.9,36.8
Maine ,8 p.m. ,4,56.3,41,Strong Obama,57.6,40.5
Michigan ,8 p.m. ,16,54.2,44.7,Strong Obama,57.4,40.9
Minnesota ,9 p.m. ,10,52.7,45,Strong Obama,54.2,44
Missouri ,8 p.m. ,10,44.4,53.8,Strong Romney,49.3,49.4
Mississippi ,8 p.m. ,6,43.8,55.3,Strong Romney,42.8,56.4
Montana ,10 p.m. ,3,41.7,55.4,Strong Romney,47.2,49.7
North Carolina ,7:30 p.m. ,15,48.4,50.4,Tossup,49.9,49.5
North Dakota ,10 p.m. ,3,38.7,58.3,Strong Romney,44.7,53.3
Nebraska ,9 p.m. ,5,37.9,60.4,Strong Romney,41.5,57
New Hampshire ,8 p.m. ,4,52,46.4,Lean Obama,54.3,44.8
New Jersey ,8 p.m. ,14,58.3,40.6,Strong Obama,56.8,42.1
New Mexico ,9 p.m. ,5,53,42.8,Strong Obama,56.7,42
Nevada ,10 p.m. ,6,52.4,45.7,Lean Obama,55.1,42.7
New York ,9 p.m. ,29,62.6,36,Strong Obama,62.2,36.7
Ohio ,7:30 p.m. ,18,50.7,47.7,Lean Obama,51.2,47.2
Oklahoma ,8 p.m. ,7,33.2,66.8,Strong Romney,34.4,65.6
Oregon ,10 p.m. ,7,54.2,42.1,Strong Obama,57.1,40.8
Pennsylvania ,8 p.m. ,20,52.1,46.7,Strong Obama,54.7,44.3
Rhode Island ,8 p.m. ,4,62.7,35.2,Strong Obama,63.1,35.3
South Carolina,7 p.m. ,9,44.1,54.6,Strong Romney,44.9,53.8
South Dakota ,8 p.m. ,3,39.9,57.9,Strong Romney,44.7,53.2
Tennessee ,8 p.m. ,11,39.1,59.5,Strong Romney,41.8,56.9
Texas ,8 p.m. ,38,41.4,57.2,Strong Romney,43.8,55.5
Utah ,10 p.m. ,6,24.7,72.8,Strong Romney,34.2,62.9
Virginia ,7 p.m. ,13,51.2,47.3,Tossup,52.7,46.4
Vermont ,7 p.m. ,3,66.6,31,Strong Obama,67.8,30.6
Washington ,11 p.m. ,12,56.2,41.3,Strong Obama,57.5,40.5
Wisconsin ,9 p.m. ,10,52.8,45.9,Lean Obama,56.3,42.4
West Virginia ,7:30 p.m. ,5,35.5,62.3,Strong Romney,42.6,55.7
Wyoming ,9 p.m. ,3,27.8,68.6,Strong Romney,32.7,65.2
