Date,CPI-all,CPI-less energy/food,CPI-Durables,CPI-Housing,NewHousingStarts,Lumber,S&P_Price
12/1/99,100,100,100,100,113.6,187.6,1428.68
1/1/00,100.3,100.3,99.8,100.7,104,189.1,1425.59
2/1/00,100.9,100.7,99.4,101.4,119.7,189.2,1388.87
3/1/00,101.6,101.2,99.4,101.8,133.4,188.5,1442.21
4/1/00,101.6,101.3,99.3,101.8,149.5,186.3,1461.36
5/1/00,101.7,101.2,99.1,101.9,152.9,180.3,1418.48
6/1/00,102.1,101.2,98.9,102.8,146.3,179.6,1461.96
7/1/00,102.3,101.4,98.6,103.4,135,176.1,1473
8/1/00,102.3,101.6,98.1,103.6,141.4,173.2,1485.46
9/1/00,102.8,101.9,98.2,103.7,128.9,171.4,1468.05
10/1/00,102.9,102.2,98.2,103.7,139.7,171.6,1390.14
11/1/00,102.8,102.2,98.3,103.6,117.1,170.4,1378.04
12/1/00,102.6,101.9,98.1,103.6,100.7,169.6,1330.93
1/1/01,103.3,102.2,97.8,105.1,106.4,166.6,1335.63
2/1/01,103.7,102.7,97.4,105.4,108.2,168.2,1305.75
3/1/01,103.9,103.2,97,105.9,133.2,169.5,1185.85
4/1/01,104.2,103.2,96.9,105.9,151.3,170,1189.84
5/1/01,104.6,103.1,96.4,106.1,154,181.1,1270.37
6/1/01,104.8,103.4,96.1,107.1,155.2,183.2,1238.71
7/1/01,104.5,103.5,95.8,107.3,154.6,175.4,1204.45
8/1/01,104.6,103.8,95.3,107.7,141.5,174.5,1178.5
9/1/01,104.9,103.9,95,107.2,133.1,173.1,1044.64
10/1/01,104.7,104.2,95.1,106.8,139.8,167.3,1076.59
11/1/01,104.4,104.3,95.5,106.9,121,166.1,1129.68
12/1/01,103.9,104.1,95.3,106.8,104.6,164.1,1144.93
1/1/02,104.2,104.3,94.7,107.3,110.4,168.3,1140.21
2/1/02,104.5,104.8,94,107.7,120.4,171.3,1100.67
3/1/02,105.1,105.2,93.5,108.1,138.2,174.8,1153.79
4/1/02,105.6,105.3,93.3,108.3,148.8,174.7,1111.93
5/1/02,105.6,105.3,93.2,108.5,165.5,173,1079.25
6/1/02,105.6,105.1,92.8,109,160.3,169.8,1014.02
7/1/02,105.7,105.3,92.6,109.3,155.9,170.2,903.59
8/1/02,106,105.6,92.4,109.6,147,171.4,912.55
9/1/02,106.3,105.9,92.2,109.4,155.6,169.9,867.81
10/1/02,106.4,106.1,92.2,109.3,146.8,168.1,854.63
11/1/02,106.3,106,91.9,109.2,133,167.6,909.93
12/1/02,106,105.8,91.7,109.1,123.1,167.7,899.18
1/1/03,106.5,106,91.4,109.8,117.8,168.1,895.84
2/1/03,107.3,106.2,91.2,110.3,109.7,170.5,837.03
3/1/03,107.9,106.5,91,111.2,147.2,169,846.63
4/1/03,107.7,106.5,90.7,111,151.2,169.3,890.03
5/1/03,107.5,106.5,90.3,111.3,165,169.4,935.96
6/1/03,107.6,106.4,89.9,111.8,174.5,171,988
7/1/03,107.7,106.5,89.4,112.2,175.8,175.3,992.54
8/1/03,108.2,106.7,89,112.3,163.8,176,989.53
9/1/03,108.5,106.8,88.3,112.1,171.3,183.3,1019.44
10/1/03,108.4,107.1,88.1,112,173.5,179.4,1038.73
11/1/03,108,106.9,88,111.6,153.7,180.2,1049.9
12/1/03,107.8,106.6,88,111.6,144.2,180.8,1080.64
1/1/04,108.5,107,88,112.5,124.5,183.7,1132.52
2/1/04,109.1,107.5,88.4,112.8,126.4,190.7,1143.36
3/1/04,109.7,108.1,88.3,113.4,173.8,199.7,1123.98
4/1/04,110,108.3,88.4,113.6,179.5,206.6,1133.36
5/1/04,110.6,108.3,88.3,113.9,187.6,214.2,1102.78
6/1/04,110.8,108.2,87.9,114.6,172.3,209.6,1132.76
7/1/04,110.7,108.3,87.5,115,182,208.6,1105.85
8/1/04,110.7,108.4,87.3,115.2,185.9,219,1088.94
9/1/04,111,108.8,87.7,115.2,164,218.5,1117.66
10/1/04,111.6,109.2,88.2,115.1,181.3,204.9,1117.21
11/1/04,111.6,109.2,88.5,115,138.1,193.6,1168.94
12/1/04,111.2,109,88.7,115.1,140.2,194.5,1199.21
1/1/05,111.3,109.3,89,115.6,142.9,197.6,1181.41
2/1/05,111.9,109.8,88.7,116,149.1,205.5,1199.63
3/1/05,112.6,110.2,88.5,116.5,156.2,206.4,1194.9
4/1/05,113.4,110.4,88.5,116.8,184.6,204.8,1164.43
