Date,CPI-all,CPI-less energy/food,CPI-Durables,CPI-Housing,NewHousingStarts,Lumber,,,,,,
12/1/1999,100.00,100.00,100.00,100.00,113.60,187.6,,,,,,
1/1/2000,100.30,100.30,99.80,100.70,104.00,189.1,,,,,,
2/1/2000,100.90,100.70,99.40,101.40,119.70,189.2,,,,,,
3/1/2000,101.60,101.20,99.40,101.80,133.40,188.5,,,,,,
4/1/2000,101.60,101.30,99.30,101.80,149.50,186.3,,,,,,
5/1/2000,101.70,101.20,99.10,101.90,152.90,180.3,,,,,,
6/1/2000,102.10,101.20,98.90,102.80,146.30,179.6,,,,,,
7/1/2000,102.30,101.40,98.60,103.40,135.00,176.1,,,,,,
8/1/2000,102.30,101.60,98.10,103.60,141.40,173.2,,,,,,
9/1/2000,102.80,101.90,98.20,103.70,128.90,171.4,,,,,,
10/1/2000,102.90,102.20,98.20,103.70,139.70,171.6,,,,,,
11/1/2000,102.80,102.20,98.30,103.60,117.10,170.4,,,,,,
12/1/2000,102.60,101.90,98.10,103.60,100.70,169.6,2.6%,1.9%,-1.9%,3.6%,-11.4%,-9.6%
1/1/2001,103.30,102.20,97.80,105.10,106.40,166.6,3.0%,1.9%,-2.0%,4.4%,2.3%,-11.9%
2/1/2001,103.70,102.70,97.40,105.40,108.20,168.2,2.8%,2.0%,-2.0%,3.9%,-9.6%,-11.1%
3/1/2001,103.90,103.20,97.00,105.90,133.20,169.5,2.3%,2.0%,-2.4%,4.0%,-0.1%,-10.1%
4/1/2001,104.20,103.20,96.90,105.90,151.30,170,2.6%,1.9%,-2.4%,4.0%,1.2%,-8.7%
5/1/2001,104.60,103.10,96.40,106.10,154.00,181.1,2.9%,1.9%,-2.7%,4.1%,0.7%,0.4%
6/1/2001,104.80,103.40,96.10,107.10,155.20,183.2,2.6%,2.2%,-2.8%,4.2%,6.1%,2.0%
7/1/2001,104.50,103.50,95.80,107.30,154.60,175.4,2.2%,2.1%,-2.8%,3.8%,14.5%,-0.4%
8/1/2001,104.60,103.80,95.30,107.70,141.50,174.5,2.2%,2.2%,-2.9%,4.0%,0.1%,0.8%
9/1/2001,104.90,103.90,95.00,107.20,133.10,173.1,2.0%,2.0%,-3.3%,3.4%,3.3%,1.0%
10/1/2001,104.70,104.20,95.10,106.80,139.80,167.3,1.7%,2.0%,-3.2%,3.0%,0.1%,-2.5%
11/1/2001,104.40,104.30,95.50,106.90,121.00,166.1,1.6%,2.1%,-2.8%,3.2%,3.3%,-2.5%
12/1/2001,103.90,104.10,95.30,106.80,104.60,164.1,1.3%,2.2%,-2.9%,3.1%,3.9%,-3.2%
1/1/2002,104.20,104.30,94.70,107.30,110.40,168.3,0.9%,2.1%,-3.2%,2.1%,3.8%,1.0%
2/1/2002,104.50,104.80,94.00,107.70,120.40,171.3,0.8%,2.0%,-3.5%,2.2%,11.3%,1.8%
3/1/2002,105.10,105.20,93.50,108.10,138.20,174.8,1.2%,1.9%,-3.6%,2.1%,3.8%,3.1%
4/1/2002,105.60,105.30,93.30,108.30,148.80,174.7,1.3%,2.0%,-3.7%,2.3%,-1.7%,2.8%
5/1/2002,105.60,105.30,93.20,108.50,165.50,173,1.0%,2.1%,-3.3%,2.3%,7.5%,-4.5%
6/1/2002,105.60,105.10,92.80,109.00,160.30,169.8,0.8%,1.6%,-3.4%,1.8%,3.3%,-7.3%
7/1/2002,105.70,105.30,92.60,109.30,155.90,170.2,1.1%,1.7%,-3.3%,1.9%,0.8%,-3.0%
8/1/2002,106.00,105.60,92.40,109.60,147.00,171.4,1.3%,1.7%,-3.0%,1.8%,3.9%,-1.8%
9/1/2002,106.30,105.90,92.20,109.40,155.60,169.9,1.3%,1.9%,-2.9%,2.1%,16.9%,-1.8%
10/1/2002,106.40,106.10,92.20,109.30,146.80,168.1,1.6%,1.8%,-3.0%,2.3%,5.0%,0.5%
11/1/2002,106.30,106.00,91.90,109.20,133.00,167.6,1.8%,1.6%,-3.8%,2.2%,9.9%,0.9%
12/1/2002,106.00,105.80,91.70,109.10,123.10,167.7,2.0%,1.6%,-3.8%,2.2%,17.7%,2.2%
1/1/2003,106.50,106.00,91.40,109.80,117.80,168.1,2.2%,1.6%,-3.5%,2.3%,6.7%,-0.1%
2/1/2003,107.30,106.20,91.20,110.30,109.70,170.5,2.7%,1.3%,-3.0%,2.4%,-8.9%,-0.5%
3/1/2003,107.90,106.50,91.00,111.20,147.20,169,2.7%,1.2%,-2.7%,2.9%,6.5%,-3.3%
4/1/2003,107.70,106.50,90.70,111.00,151.20,169.3,2.0%,1.1%,-2.8%,2.5%,1.6%,-3.1%
5/1/2003,107.50,106.50,90.30,111.30,165.00,169.4,1.8%,1.1%,-3.1%,2.6%,-0.3%,-2.1%
6/1/2003,107.60,106.40,89.90,111.80,174.50,171,1.9%,1.2%,-3.1%,2.6%,8.9%,0.7%
7/1/2003,107.70,106.50,89.40,112.20,175.80,175.3,1.9%,1.1%,-3.5%,2.7%,12.8%,3.0%
8/1/2003,108.20,106.70,89.00,112.30,163.80,176,2.1%,1.0%,-3.7%,2.5%,11.4%,2.7%
9/1/2003,108.50,106.80,88.30,112.10,171.30,183.3,2.1%,0.8%,-4.2%,2.5%,10.1%,7.9%
10/1/2003,108.40,107.10,88.10,112.00,173.50,179.4,1.9%,0.9%,-4.4%,2.5%,18.2%,6.7%
11/1/2003,108.00,106.90,88.00,111.60,153.70,180.2,1.6%,0.8%,-4.2%,2.2%,15.6%,7.5%
12/1/2003,107.80,106.60,88.00,111.60,144.20,180.8,1.7%,0.8%,-4.0%,2.3%,17.1%,7.8%
1/1/2004,108.50,107.00,88.00,112.50,124.50,183.7,1.9%,0.9%,-3.7%,2.5%,5.7%,9.3%
2/1/2004,109.10,107.50,88.40,112.80,126.40,190.7,1.7%,1.2%,-3.1%,2.3%,15.2%,11.8%
3/1/2004,109.70,108.10,88.30,113.40,173.80,199.7,1.7%,1.5%,-3.0%,2.0%,18.1%,18.2%
4/1/2004,110.00,108.30,88.40,113.60,179.50,206.6,2.1%,1.7%,-2.5%,2.3%,18.7%,22.0%
5/1/2004,110.60,108.30,88.30,113.90,187.60,214.2,2.9%,1.7%,-2.2%,2.3%,13.7%,26.4%
6/1/2004,110.80,108.20,87.90,114.60,172.30,209.6,3.0%,1.7%,-2.2%,2.5%,-1.3%,22.6%
7/1/2004,110.70,108.30,87.50,115.00,182.00,208.6,2.8%,1.7%,-2.1%,2.5%,3.5%,19.0%
8/1/2004,110.70,108.40,87.30,115.20,185.90,219,2.3%,1.6%,-1.9%,2.6%,13.5%,24.4%
9/1/2004,111.00,108.80,87.70,115.20,164.00,218.5,2.3%,1.9%,-0.7%,2.8%,-4.3%,19.2%
10/1/2004,111.60,109.20,88.20,115.10,181.30,204.9,3.0%,2.0%,0.1%,2.8%,4.5%,14.2%
11/1/2004,111.60,109.20,88.50,115.00,138.10,193.6,3.3%,2.2%,0.6%,3.0%,-10.1%,7.4%
12/1/2004,111.20,109.00,88.70,115.10,140.20,194.5,3.2%,2.3%,0.8%,3.1%,-2.8%,7.6%
1/1/2005,111.30,109.30,89.00,115.60,142.90,197.6,2.6%,2.1%,1.1%,2.8%,14.8%,7.6%
2/1/2005,111.90,109.80,88.70,116.00,149.10,205.5,2.6%,2.1%,0.3%,2.8%,18.0%,7.8%
3/1/2005,112.60,110.20,88.50,116.50,156.20,206.4,2.6%,1.9%,0.2%,2.7%,-10.1%,3.4%
4/1/2005,113.40,110.40,88.50,116.80,184.60,204.8,3.1%,1.9%,0.1%,2.8%,2.8%,-0.9%
5/1/2005,113.30,110.30,88.50,117.00,197.90,196.9,2.4%,1.8%,0.2%,2.7%,5.5%,-8.1%
6/1/2005,113.20,110.20,88.20,117.60,192.80,202.3,2.2%,1.8%,0.3%,2.6%,11.9%,-3.5%
7/1/2005,113.70,110.20,87.50,118.10,187.60,198,2.7%,1.8%,0.0%,2.7%,3.1%,-5.1%
8/1/2005,114.30,110.40,87.20,118.10,192.00,194,3.3%,1.8%,-0.1%,2.5%,3.3%,-11.4%
9/1/2005,115.60,110.70,87.50,118.10,187.90,197.7,4.1%,1.7%,-0.2%,2.5%,14.6%,-9.5%
10/1/2005,115.70,111.10,87.70,118.50,180.40,195.8,3.7%,1.7%,-0.6%,3.0%,-0.5%,-4.4%
11/1/2005,114.90,111.10,87.60,118.60,160.70,191.5,3.0%,1.7%,-1.0%,3.1%,16.4%,-1.1%
12/1/2005,114.40,111.00,87.50,118.60,136.00,193.2,2.9%,1.8%,-1.4%,3.0%,-3.0%,-0.7%
1/1/2006,115.20,111.20,87.60,119.60,153.00,199.4,3.5%,1.7%,-1.6%,3.5%,7.1%,0.9%
2/1/2006,115.40,111.80,87.50,119.70,145.10,200.9,3.1%,1.8%,-1.4%,3.2%,-2.7%,-2.2%
3/1/2006,116.00,112.40,87.40,120.10,165.90,200.2,3.0%,2.0%,-1.2%,3.1%,6.2%,-3.0%
4/1/2006,116.90,112.70,87.40,120.20,160.50,198.8,3.1%,2.1%,-1.2%,2.9%,-13.1%,-2.9%
5/1/2006,117.50,112.70,87.30,120.50,190.20,200.6,3.7%,2.2%,-1.4%,3.0%,-3.9%,1.9%
6/1/2006,117.70,112.90,87.10,121.50,170.20,192.3,4.0%,2.5%,-1.2%,3.3%,-11.7%,-4.9%
7/1/2006,118.10,113.00,86.90,122.00,160.90,187.3,3.9%,2.5%,-0.7%,3.3%,-14.2%,-5.4%
8/1/2006,118.30,113.30,86.60,122.30,146.80,182.4,3.5%,2.6%,-0.7%,3.6%,-23.5%,-6.0%
9/1/2006,117.80,113.60,86.20,122.20,150.10,182.2,1.9%,2.6%,-1.5%,3.5%,-20.1%,-7.8%
10/1/2006,117.10,113.80,86.10,121.80,130.60,174.6,1.2%,2.4%,-1.8%,2.8%,-27.6%,-10.8%
11/1/2006,116.90,113.60,85.80,121.80,115.20,171.6,1.7%,2.3%,-2.1%,2.7%,-28.3%,-10.4%
12/1/2006,117.00,113.40,85.50,122.10,112.40,172.5,2.3%,2.2%,-2.3%,3.0%,-17.4%,-10.7%
1/1/2007,117.33,113.76,85.39,122.77,95.00,176.9,1.8%,2.3%,-2.5%,2.6%,-37.9%,-11.3%
2/1/2007,117.88,114.28,85.34,123.34,103.10,176.8,2.1%,2.2%,-2.5%,3.0%,-28.9%,-12.0%
3/1/2007,118.91,114.62,85.26,123.82,123.80,177.5,2.5%,2.0%,-2.5%,3.1%,-25.4%,-11.3%
4/1/2007,119.67,114.83,85.11,124.08,135.60,177,2.4%,1.9%,-2.6%,3.2%,-15.5%,-11.0%
5/1/2007,120.29,114.78,84.86,124.22,136.50,175.6,2.4%,1.8%,-2.8%,3.1%,-28.2%,-12.5%
6/1/2007,120.44,114.79,84.47,125.07,137.80,177.2,2.3%,1.7%,-3.0%,2.9%,-19.0%,-7.9%
7/1/2007,120.38,114.89,84.29,125.42,127.90,179.2,1.9%,1.7%,-3.0%,2.8%,-20.5%,-4.3%
8/1/2007,120.29,115.16,84.17,125.40,121.20,176.8,1.7%,1.6%,-2.8%,2.5%,-17.4%,-3.1%
9/1/2007,120.64,115.47,83.98,125.26,101.50,174.2,2.4%,1.6%,-2.6%,2.5%,-32.4%,-4.4%
10/1/2007,120.89,115.81,83.96,125.18,115.00,171.2,3.2%,1.8%,-2.5%,2.8%,-11.9%,-1.9%
11/1/2007,121.48,115.80,83.80,125.18,88.80,167.2,3.9%,1.9%,-2.3%,2.8%,-22.9%,-2.6%
12/1/2007,121.30,115.63,83.60,125.27,68.90,167.3,3.7%,2.0%,-2.2%,2.6%,-38.7%,-3.0%
1/1/2008,121.87,116.01,83.62,125.97,70.80,163.7,3.9%,2.0%,-2.1%,2.6%,-25.5%,-7.5%
2/1/2008,122.25,116.43,83.60,126.43,78.40,161.9,3.7%,1.9%,-2.0%,2.5%,-24.0%,-8.4%
3/1/2008,123.32,116.92,83.56,127.28,82.20,162.1,3.7%,2.0%,-2.0%,2.8%,-33.6%,-8.7%
4/1/2008,124.12,117.03,83.24,127.64,89.50,162.8,3.7%,1.9%,-2.2%,2.9%,-34.0%,-8.0%
5/1/2008,125.17,117.09,83.08,128.16,91.70,169.1,4.1%,2.0%,-2.1%,3.2%,-32.8%,-3.7%
6/1/2008,126.31,117.24,82.89,129.27,102.50,170.4,4.9%,2.1%,-1.9%,3.4%,-25.6%,-3.8%
